match_id,player,team,runs,balls_faced,fours,sixes,wickets,overs_bowled,balls_bowled,runs_conceded,catches,run_outs,maiden,stumps,match_outcome,opposition_team,strike_rate,economy,fantasy_points,venue
335351,Shoaib Malik,Pakistan,125,120,16,1,0,0,0,0,0,0,0,0,loss,India,104.17,0.0,257,National Stadium
1384409,MR Marsh,Australia,121,111,10,9,0,0,0,0,0,0,0,0,win,Pakistan,109.01,0.0,257,"M Chinnaswamy Stadium, Bengaluru"
297803,Salman Butt,Pakistan,129,144,17,0,0,0,0,0,0,0,0,0,loss,India,89.58,0.0,257,Green Park
1395701,IS Sodhi,New Zealand,35,40,0,3,6,10,60,39,0,0,1,0,win,Bangladesh,87.5,3.9,257,"Shere Bangla National Stadium, Mirpur"
387566,PD Collingwood,England,105,111,7,2,2,6,36,24,1,0,0,0,win,South Africa,94.59,4.0,257,SuperSport Park
936165,WU Tharanga,Sri Lanka,119,90,11,7,0,0,0,0,1,0,0,0,loss,South Africa,132.22,0.0,257,Newlands
736451,F du Plessis,South Africa,126,110,8,6,0,0,0,0,0,0,0,0,loss,Australia,114.55,0.0,256,Harare Sports Club
1174242,Haris Sohail,Pakistan,130,130,11,3,0,1,6,13,0,0,0,0,loss,Australia,100.0,13.0,256,Dubai International Cricket Stadium
573018,PJ Hughes,Australia,138,155,13,1,0,0,0,0,0,0,0,0,win,Sri Lanka,89.03,0.0,256,Bellerive Oval
1367985,Kushal Malla,Nepal,108,69,9,10,0,3,18,14,0,0,0,0,win,Oman,156.52,4.67,256,"Tribhuvan University International Cricket Ground, Kirtipur"
895813,S Dhawan,India,126,114,14,2,0,0,0,0,0,0,0,0,loss,Australia,110.53,0.0,256,Manuka Oval
1432214,Agha Salman,Pakistan,82,92,4,2,4,8,48,32,0,0,0,0,win,South Africa,89.13,4.0,256,"Boland Park, Paarl"
