player_name,role,total_runs,strike_rate,total_balls_faced,total_wickets_taken,total_runs_conceded,total_overs_bowled,total_matches_played,matches_played_as_batter,matches_played_as_bowler,matches_won,matches_lost,player_of_match_awards,team,economy_rate,average
O Kirsten,Bowler,22,40.74074074074074,54,6,124,180,272,0,272,97,175,1,Bangladesh,0.6888888888888889,20.666666666666668
M Muralitharan,Bowler,317,82.12435233160622,386,209,4719,6852,469,0,469,227,242,6,Pakistan,0.6887040280210157,22.57894736842105
DR Briggs,Bowler,0,0.0,0,2,42,61,34,0,34,18,16,0,Pakistan,0.6885245901639344,21.0
TP Kanwar,Bowler,0,0.0,0,2,75,109,282,0,282,108,174,0,West Indies,0.6880733944954128,37.5
M Gaur,Bowler,0,0.0,0,4,55,80,428,0,428,200,228,1,Sri Lanka,0.6875,13.75
Aiman Anwer,Bowler,15,75.0,20,4,189,275,438,0,438,270,168,0,South Africa,0.6872727272727273,47.25
N Pokana,Bowler,54,43.54838709677419,124,28,564,821,55,0,55,26,29,0,Namibia,0.6869671132764921,20.142857142857142
Khadija Tul Kubra,Bowler,24,34.78260869565217,69,16,436,637,139,0,139,47,92,0,Ireland,0.6844583987441131,27.25
SC Selman,Bowler,136,42.90220820189275,317,36,1141,1668,463,0,463,223,240,0,Pakistan,0.684052757793765,31.694444444444443
Faisal Akram,Bowler,0,0.0,0,5,80,117,242,0,242,58,184,0,Zimbabwe,0.6837606837606838,16.0
RW Price,Bowler,315,58.225508317929766,541,87,2855,4176,442,0,442,230,212,0,New Zealand,0.6836685823754789,32.81609195402299
Sumaiya Siddiqi,Bowler,27,84.375,32,4,166,243,160,0,160,56,104,0,Ireland,0.6831275720164609,41.5
JS Malhotra,Bowler,358,93.717277486911,382,2,71,104,59,0,59,12,47,1,Papua New Guinea,0.6826923076923077,35.5
Sana Mir,Bowler,714,51.73913043478261,1380,72,1568,2299,438,0,438,270,168,4,South Africa,0.6820356676816007,21.77777777777778
Poonam Yadav,Bowler,53,37.857142857142854,140,65,1773,2600,471,0,471,290,181,0,South Africa,0.681923076923077,27.276923076923076
M Joshi,Bowler,20,62.5,32,16,366,537,471,0,471,290,181,0,South Africa,0.6815642458100558,22.875
MA Suji,Bowler,36,70.58823529411765,51,9,355,522,346,0,346,134,212,1,Bangladesh,0.6800766283524904,39.44444444444444
Kamran Hussain,Bowler,28,133.33333333333331,21,4,70,103,241,0,241,58,183,0,Zimbabwe,0.6796116504854369,17.5
K Gore,Bowler,171,66.796875,256,11,293,432,50,0,50,24,26,1,Namibia,0.6782407407407407,26.636363636363637
JN Gillespie,Bowler,115,104.54545454545455,110,59,1364,2013,424,0,424,164,260,2,West Indies,0.6775956284153005,23.11864406779661
