match_id,created,city,dates,event_name,match_number,gender,match_type,match_type_number,toss_winner,toss_decision,outcome_winner,outcome_by_runs,outcome_by_wickets,overs,player_of_match,season,teams,venue,total_fours,total_sixes
225171,2015-12-09,Belfast,2006-06-13,,,male,ODI,2383,England,bat,England,38.0,,50,ME Trescothick,2006,"Ireland, England","Civil Service Cricket Club, Stormont",45,2
523734,2011-09-16,,2011-09-14,Pakistan in Zimbabwe ODI Series,3.0,male,ODI,3194,Zimbabwe,field,Pakistan,28.0,,50,Aizaz Cheema,2011,"Zimbabwe, Pakistan",Harare Sports Club,42,5
335356,2015-08-26,Karachi,2008-07-03,Asia Cup,11.0,male,ODI,2732,Sri Lanka,bat,India,,6.0,50,MS Dhoni,2008,"India, Sri Lanka",National Stadium,60,6
578623,2013-06-18,Birmingham,2013-06-15,ICC Champions Trophy,10.0,male,ODI,3372,India,field,India,,8.0,50,B Kumar,2013,"India, Pakistan",Edgbaston,27,0
249745,2015-10-24,Jaipur,2006-10-15,ICC Champions Trophy,7.0,male,ODI,2429,India,field,India,,4.0,50,MM Patel,2006/07,"India, England",Sawai Mansingh Stadium,29,0
932861,2016-06-20,Barbados,2016-06-19,West Indies Tri-Nation Series,7.0,male,ODI,3750,Australia,field,,,,50,,2016,"Australia, South Africa","Kensington Oval, Bridgetown",1,0
247472,2015-09-23,Trinidad,2007-03-21,ICC World Cup,16.0,male,ODI,2546,Bangladesh,field,Sri Lanka,198.0,,50,ST Jayasuriya,2006/07,"Bangladesh, Sri Lanka","Queen's Park Oval, Port of Spain",32,13
473927,2011-02-03,Hamilton,2011-02-03,Pakistan in New Zealand ODI Series,5.0,male,ODI,3095,New Zealand,field,Pakistan,41.0,,50,Ahmed Shehzad,2010/11,"New Zealand, Pakistan",Seddon Park,38,6
1303309,2022-07-11,Dublin,2022-07-10,New Zealand tour of Ireland,1.0,male,ODI,4419,New Zealand,field,New Zealand,,1.0,50,MG Bracewell,2022,"Ireland, New Zealand","The Village, Malahide, Dublin",57,19
667645,2014-01-28,Auckland,2014-01-25,India in New Zealand ODI Series,3.0,male,ODI,3462,India,field,,,,50,RA Jadeja,2013/14,"New Zealand, India",Eden Park,51,23
1115806,2020-05-10,Wellington,2018-01-19,Pakistan tour of New Zealand,5.0,male,ODI,3957,New Zealand,bat,New Zealand,15.0,,50,MJ Guptill,2017/18,"New Zealand, Pakistan",Basin Reserve,46,5
238190,2016-06-19,Margao,2006-04-03,England in India ODI Series,3.0,male,ODI,2359,India,bat,India,49.0,,50,Yuvraj Singh,2005/06,"India, England","Nehru Stadium, Fatorda",51,9
1170455,2020-04-10,Dubai,2019-01-26,Nepal tour of United Arab Emirates,2.0,male,ODI,4086,Nepal,bat,Nepal,145.0,,50,Sompal Kami,2018/19,"United Arab Emirates, Nepal",ICC Academy,34,5
366626,2013-03-04,Wellington,2009-03-06,India in New Zealand ODI Series,2.0,male,ODI,2822,India,bat,,,,50,,2008/09,"New Zealand, India",Westpac Stadium,22,2
518960,2012-07-08,,2012-02-14,Commonwealth Bank Series,5.0,male,ODI,3239,Sri Lanka,bat,,,,50,MS Dhoni,2011/12,"India, Sri Lanka",Adelaide Oval,30,4
